,info
0,"Musikpersonal verwalten, Zuweisen und Verwalten der Aufgaben des Personals in Bereichen wie Komposition, Arrangement, Kopieren von Musik und Gesangsunterricht."
1,"Strafvollzugsverfahren beaufsichtigen, Überwachen des Betriebs einer Justizvollzugsanstalt oder anderer Strafvollzugsverfahren, um sicherzustellen, dass die Rechtsvorschriften angewendet und vom Personal eingehalten werden, sowie Verbessern der Effizienz und Sicherheit der Haftanstalt."
2,"nicht unterdrückende Praktiken anwenden, Ermitteln von Repressionen in Gesellschaften, Volkswirtschaften, Kulturen und Gruppen, professionelles Handeln auf nichtrepressive Weise, Befähigen der Nutzer von Dienstleistungen, tätig zu werden, um ihr Leben zu verbessern, und der Bürger, ihr Umfeld entsprechend ihren eigenen Interessen zu verändern."
3,"Einhaltung von Vorschriften von Eisenbahnfahrzeugen überprüfen, Kontrollieren von Fahrzeugen, Komponenten und Systemen, um die Einhaltung von Normen und Spezifikationen zu gewährleisten."
4,"verfügbare Dienste ermitteln, Ermitteln der verschiedenen verfügbaren Dienste, die einem Straftäter während seiner Bewährungszeit offenstehen, um den Rehabilitierungs- und Wiedereingliederungsprozess zu unterstützen, sowie Beraten der Täter, wie sie die ihnen zur Verfügung stehenden Dienstleistungen ermitteln können."
5,"toxikologische Studien durchführen, Durchführen von Tests zum Nachweis von Giften oder Drogenmissbrauch und Unterstützen der Therapieüberwachung durch den Einsatz von chemischen Reagenzien, Enzymen, Radioisotopen und Antikörpern, um ungewöhnliche chemische Konzentrationen im Körper zu erkennen."
6,"Einheitlichkeit von Kokillen gewährleisten, Überwachen der Einheitlichkeit von Kokillen; Verwenden von Gießmaschinen und Werkzeugen wie Schweißgeräten."
7,"Haskell, Techniken und Grundsätze der Softwareentwicklung, wie Analyse, Algorithmen, Programmierung, Tests und Zusammenstellen von Programmparadigmen in Haskell."
8,"Initiative zeigen, Proaktiv sein und den ersten Schritt unternehmen, ohne darauf zu warten, was andere sagen oder tun.
  "
9,"Personal mit Blick auf die Verringerung von Lebensmittelabfällen schulen, Einführung neuer Schulungs- und Personalentwicklungsmaßnahmen, um das Wissen der Mitarbeiter über die Vermeidung von Lebensmittelabfällen und die Wiederverwertung von Lebensmitteln zu fördern. Sicherstellen, dass das Personal die Methoden und Hilfsmittel für die Wiederverwertung von Lebensmitteln kennt, z. B. die Abfalltrennung.
	"
10,"Grundsätze der Diplomatie anwenden, Anwenden der mit der Ausarbeitung internationaler Verträge verbundenen Prozesse durch Verhandlungen zwischen Vertretern verschiedener Länder, Schutz der Interessen der Regierung und Unterstützung von Kompromissen."
11,"polizeiliche Ermittlungen leiten, Leiten von Ermittlungen der Polizei, einschließlich Festlegen einer Ermittlungsstrategie, Kontaktaufnahme mit Sachverständigen, Anwenden unterschiedlicher Methoden und Standpunkte sowie Führen und Anleiten der beteiligten Ermittler."
12,"mit den Abfällen der Fischernte umgehen, Entsorgen von Abfall, Blut und minderwertigem Fisch gemäß den am Standort geltenden Verfahren für die Abfallbewirtschaftung."
13,"Energiesparkonzepte entwickeln, Nutzen der aktuellen Forschungsergebnisse und Zusammenarbeit mit Experten zur Optimierung oder Entwicklung von Konzepten, Ausrüstung und Herstellungsverfahren, die weniger Energie benötigen, z. B. neue Dämmverfahren und -materialien."
14,"als Streetworker tätig sein, Sozialarbeit durch Kontaktaufnahme mit Personen in der Nachbarschaft oder auf der Straße und Anbieten von direkten Informationen oder Beratungsdiensten, die in der Regel auf Jugendliche oder Obdachlose ausgerichtet sind."
15,"mit Solisten/Solistinnen arbeiten, Kommunizieren mit Solokünstlern und Konzertmeistern, um die Aufführungen zu besprechen und vorzubereiten."
16,"Sport- und Bewegungsmedizin, Vorbeugung und Behandlung von Verletzungen oder Erkrankungen, die auf eine körperliche Betätigung oder auf Sport zurückzuführen sind."
